Kategorie,Typ,Breitengrad,Längengrad,emoji
Bestandsanalyse,Springbrunnen,50.1112,8.69386,⛲
Bestandsanalyse,Springbrunnen,50.11746,8.69123,⛲
Bestandsanalyse,Springbrunnen,50.11525,8.67227,⛲
Bestandsanalyse,Springbrunnen,50.11492,8.67192,⛲
Bestandsanalyse,Springbrunnen,50.10851,8.67305,⛲
Bestandsanalyse,Spielplatz mit Fußballfeld,50.11243,8.69543,⚽
Bestandsanalyse,Sportbereich,50.11462,8.69452,🏋️
Bestandsanalyse,Spielplatz mit Fußball und Basketballfeld,50.11631,8.6928,⚽🏀
Bestandsanalyse,Spielplatz,50.11948,8.68714,🛝
Bestandsanalyse,Spielplatz mit Basketballfeld,50.11883,8.68392,🏀
